timestamp,atm_1,atm_7,atm_14,atm_30,atm_60,atm_90,atm_180,atm_365,call10_1,call10_7,call10_14,call10_30,call10_60,call10_90,call10_180,call10_365,call25_1,call25_7,call25_14,call25_30,call25_60,call25_90,call25_180,call25_365,call35_1,call35_7,call35_14,call35_30,call35_60,call35_90,call35_180,call35_365,put10_1,put10_7,put10_14,put10_30,put10_60,put10_90,put10_180,put10_365,put25_1,put25_7,put25_14,put25_30,put25_60,put25_90,put25_180,put25_365,put35_1,put35_7,put35_14,put35_30,put35_60,put35_90,put35_180,put35_365
2026-08-18T21:13:17.776338+00:00,0.4644,0.511971,0.520857,0.547486,0.580987,0.608514,0.6443,0.6443,0.7913,0.549,0.554629,0.577143,0.608297,0.635429,0.6707,0.6707,0.4874,0.524043,0.532829,0.559743,0.591549,0.616571,0.6491,0.6491,0.4644,0.5216,0.532229,0.557943,0.589585,0.6152,0.6485,0.6485,0.4931,0.570071,0.587143,0.620114,0.658648,0.688714,0.7278,0.7278,0.4586,0.528386,0.544543,0.571114,0.604684,0.632343,0.6683,0.6683,0.4586,0.5181,0.533857,0.556086,0.587725,0.615714,0.6521,0.6521
2026-08-18T22:29:45.829592+00:00,0.4665,0.512657,0.520971,0.548057,0.581666,0.609029,0.6446,0.6446,0.7913,0.552229,0.556457,0.577486,0.608163,0.635657,0.6714,0.6714,0.4989,0.526329,0.534214,0.560271,0.591819,0.617071,0.6499,0.6499,0.4665,0.523529,0.5336,0.5588,0.590257,0.615971,0.6494,0.6494,0.6059,0.569971,0.587043,0.620014,0.658669,0.6889,0.7282,0.7282,0.4543,0.528557,0.545314,0.571371,0.604708,0.6324,0.6684,0.6684,0.4543,0.517686,0.534457,0.556286,0.587749,0.615771,0.6522,0.6522
2026-08-18T23:27:39.382134+00:00,0.4541,0.509429,0.521357,0.549186,0.582948,0.610014,0.6452,0.6452,0.7913,0.547586,0.558343,0.578914,0.609169,0.6364,0.6718,0.6718,0.5155,0.524614,0.535071,0.560957,0.592177,0.6171,0.6495,0.6495,0.4669,0.5241,0.533957,0.558986,0.590236,0.615786,0.649,0.649,0.6059,0.569743,0.586643,0.619614,0.65839,0.688786,0.7283,0.7283,0.4905,0.527929,0.544586,0.570929,0.60448,0.632271,0.6684,0.6684,0.4541,0.517371,0.534471,0.559157,0.591082,0.617786,0.6525,0.6525
2026-08-19T01:39:10.304678+00:00,0.5106,0.517071,0.525232,0.549975,0.582132,0.609956,0.6452,0.6452,0.5247,0.546457,0.557846,0.578475,0.608731,0.636423,0.6715,0.6715,0.5097,0.524386,0.535393,0.56065,0.591465,0.617245,0.6499,0.6499,0.5106,0.523529,0.533961,0.558475,0.58942,0.615793,0.6492,0.6492,0.5274,0.570614,0.592325,0.623125,0.659853,0.690182,0.7286,0.7286,0.506,0.528143,0.540993,0.57105,0.605557,0.633414,0.6687,0.6687,0.506,0.514529,0.526321,0.55455,0.58856,0.616813,0.6526,0.6526
2026-08-19T03:03:06.065237+00:00,0.5103,0.514843,0.525829,0.5512,0.583227,0.610524,0.6451,0.6451,0.5372,0.542829,0.550886,0.5742,0.606541,0.63542,0.672,0.672,0.5115,0.525043,0.535886,0.5608,0.591465,0.617245,0.6499,0.6499,0.5106,0.523914,0.534043,0.5585,0.589369,0.615677,0.649,0.649,0.5562,0.576543,0.591407,0.62215,0.658979,0.689474,0.7281,0.7281,0.5269,0.534857,0.549007,0.57335,0.605382,0.633273,0.6686,0.6686,0.5103,0.524129,0.538168,0.561425,0.592022,0.618659,0.6524,0.6524
2026-08-19T04:42:15.400500+00:00,0.5129,0.5173,0.526764,0.55065,0.582255,0.609848,0.6448,0.6448,0.541,0.550214,0.5597,0.5789,0.608581,0.63634,0.6715,0.6715,0.514,0.525386,0.536086,0.561,0.591538,0.617154,0.6496,0.6496,0.5121,0.523614,0.533668,0.558525,0.589544,0.615819,0.6491,0.6491,0.5611,0.578657,0.592664,0.62295,0.659301,0.689433,0.7276,0.7276,0.5334,0.536771,0.550046,0.573875,0.605607,0.633398,0.6686,0.6686,0.5129,0.527086,0.539964,0.56225,0.592321,0.618826,0.6524,0.6524
2026-08-19T05:36:12.390678+00:00,0.5196,0.519886,0.526518,0.550575,0.582356,0.610081,0.6452,0.6452,0.5439,0.551014,0.560029,0.579,0.608556,0.636281,0.6714,0.6714,0.5184,0.527014,0.536996,0.561625,0.591887,0.617304,0.6495,0.6495,0.5196,0.525514,0.534807,0.55915,0.589818,0.615927,0.649,0.649,0.5641,0.572543,0.593029,0.6232,0.659754,0.690215,0.7288,0.7288,0.5362,0.537543,0.550375,0.573975,0.605733,0.633689,0.6691,0.6691,0.5143,0.526986,0.539061,0.558775,0.589035,0.617255,0.653,0.653
2026-08-19T06:53:29.532425+00:00,0.52,0.518471,0.527457,0.551,0.58243,0.60999,0.6449,0.6449,0.555,0.552929,0.560775,0.579575,0.609081,0.63684,0.672,0.672,0.5222,0.5282,0.536896,0.561525,0.591888,0.617437,0.6498,0.6498,0.5201,0.525329,0.534196,0.558825,0.589668,0.615844,0.649,0.649,0.5701,0.580471,0.593221,0.62305,0.659555,0.690148,0.7289,0.7289,0.5414,0.538029,0.550229,0.574,0.605707,0.633498,0.6687,0.6687,0.52,0.528114,0.540457,0.5624,0.592397,0.619001,0.6527,0.6527
2026-08-19T07:44:04.415494+00:00,0.5242,0.517857,0.526929,0.5523,0.583847,0.610518,0.6443,0.6443,0.5651,0.545286,0.553325,0.576125,0.605486,0.630771,0.6628,0.6628,0.5247,0.533786,0.537725,0.562125,0.592009,0.617064,0.6488,0.6488,0.5247,0.526871,0.535125,0.559525,0.590015,0.615862,0.6486,0.6486,0.5745,0.5807,0.592789,0.621875,0.658131,0.688823,0.7277,0.7277,0.5415,0.538271,0.550586,0.5739,0.60528,0.632907,0.6679,0.6679,0.5242,0.531057,0.540164,0.56245,0.592344,0.618619,0.6519,0.6519
2026-08-19T08:44:18.162528+00:00,0.5173,0.513129,0.523782,0.550925,0.583424,0.610325,0.6444,0.6444,0.5684,0.555186,0.561461,0.577975,0.606709,0.634764,0.6703,0.6703,0.533,0.531229,0.539204,0.560975,0.590518,0.616627,0.6497,0.6497,0.5266,0.527543,0.536493,0.55855,0.588799,0.615667,0.6497,0.6497,0.5659,0.5723,0.585275,0.615275,0.652184,0.683205,0.7225,0.7225,0.5344,0.5302,0.543568,0.568425,0.601188,0.629737,0.6659,0.6659,0.5173,0.521,0.534114,0.5588,0.590123,0.616892,0.6508,0.6508
